request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_47,38114000.00,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 51004702.50 available over the next 90 days.
request_48,41305.05,affordable_later,wait,2026-10-13:45700.00,2026-10-13,none,"Wait until 2026-10-13, then pay INR 45700 in full. Paying sooner would put the INR 71300 minimum at risk."
request_49,9555839.61,not_affordable,not_recommended,none,2024-05-18,none,The full IDR 34333000 request cannot be completed safely within the next 90 days without exceeding the IDR 20275700 minimum. Up to IDR 9555839.61 is safe to pay today.
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 151636.04 available over the next 90 days.
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 24430005.10 available over the next 90 days.
request_52,22842.05,affordable_later,wait,2024-06-14:28870.00,2024-06-14,none,"Wait until 2024-06-14, then pay INR 28870 in full. Paying sooner would put the INR 41500 minimum at risk."
request_53,505.20,not_affordable,not_recommended,none,2026-01-13,none,The full USD 1699.2 request cannot be completed safely within the next 90 days without exceeding the USD 2100 minimum. Up to USD 505.20 is safe to pay today.
request_54,686.13,not_affordable,not_recommended,none,,none,The full ZAR 121528 request cannot be completed safely within the next 90 days without exceeding the ZAR 37000 minimum. Up to ZAR 686.13 is safe to pay today.
request_55,122825.95,not_affordable,not_recommended,none,2026-08-13,none,The full INR 218600 request cannot be completed safely within the next 90 days without exceeding the INR 124300 minimum. Up to INR 122825.95 is safe to pay today.
request_56,573.87,affordable_with_plan,partial_payment,2025-02-03:573.87|2025-02-15:307.69,2025-02-15,none,"Pay USD 573.87 today, then USD 307.69 on 2025-02-15. This completes the USD 881.56 request while keeping at least USD 2100.00 available."
request_57,11909.19,affordable_later,wait,2026-06-13:61446.00,2026-06-13,none,"Wait until 2026-06-13, then pay ZAR 61446 in full. Paying sooner would put the ZAR 42700 minimum at risk."
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 19289409.15 available over the next 90 days.
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 435960.54 available."
request_60,0.00,not_affordable,not_recommended,none,,none,The full USD 199.89 request cannot be completed safely within the next 90 days without exceeding the USD 400 minimum. Up to USD 0.00 is safe to pay today.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 132865.62 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 4380.78 available over the next 90 days.
request_63,30942.65,not_affordable,not_recommended,none,,none,The full INR 343900 request cannot be completed safely within the next 90 days without exceeding the INR 153500 minimum. Up to INR 30942.65 is safe to pay today.
request_64,43289.64,not_affordable,not_recommended,none,2024-08-13,none,The full INR 63700 request cannot be completed safely within the next 90 days without exceeding the INR 36100 minimum. Up to INR 43289.64 is safe to pay today.
request_65,6574.98,not_affordable,not_recommended,none,,none,The full ZAR 54340 request cannot be completed safely within the next 90 days without exceeding the ZAR 15500 minimum. Up to ZAR 6574.98 is safe to pay today.
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 267533.53 available over the next 90 days.
request_67,192.74,affordable_later,wait,2024-11-13:2094.00,2024-11-13,none,"Wait until 2024-11-13, then pay USD 2094 in full. Paying sooner would put the USD 1200 minimum at risk."
request_68,1392.43,not_affordable,not_recommended,none,2025-04-15,none,The full USD 2091.6 request cannot be completed safely within the next 90 days without exceeding the USD 1500 minimum. Up to USD 1392.43 is safe to pay today.
request_69,487.66,affordable_with_plan,full_payment,2026-01-04:529.10,2026-03-15,reduce_to:event_6386:16.4|reduce_to:proj:event_6407:2026-01-11:16.4|reduce_to:proj:event_6407:2026-02-10:16.4,Pay EUR 529.1 today by reducing event_6386 to EUR 16.4; reducing proj:event_6407:2026-01-11 to EUR 16.4; reducing proj:event_6407:2026-02-10 to EUR 16.4. This leaves at least EUR 711.01 available over the next 90 days.
request_70,48080.83,affordable_later,wait,2025-02-16:243900.00,2025-02-16,none,"Wait until 2025-02-16, then pay INR 243900 in full. Paying sooner would put the INR 115000 minimum at risk."
request_71,0.00,not_affordable,not_recommended,none,,none,The full IDR 21451000 request cannot be completed safely within the next 90 days without exceeding the IDR 8884800 minimum. Up to IDR 0.00 is safe to pay today.
request_72,11009.56,affordable_with_plan,full_payment,2026-07-05:11330.00,2026-07-16,reduce_to:event_6737:410.3|reduce_to:proj:event_6749:2026-07-11:410.3,Pay ZAR 11330 today by reducing event_6737 to ZAR 410.3; reducing proj:event_6749:2026-07-11 to ZAR 410.3. This leaves at least ZAR 12510.65 available over the next 90 days.
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 105089.94 available over the next 90 days.
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 62837.59 available over the next 90 days.
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 128430.36 available."
request_76,72.54,not_affordable,not_recommended,none,,none,The full USD 4455.6 request cannot be completed safely within the next 90 days without exceeding the USD 1800 minimum. Up to USD 72.54 is safe to pay today.
request_77,56888.64,affordable_later,wait,2025-11-14:60700.00,2025-11-14,none,"Wait until 2025-11-14, then pay INR 60700 in full. Paying sooner would put the INR 82200 minimum at risk."
request_78,31064.51,affordable_later,wait,2025-12-17:50200.00,2025-12-17,none,"Wait until 2025-12-17, then pay INR 50200 in full. Paying sooner would put the INR 55200 minimum at risk."
request_79,478.74,not_affordable,not_recommended,none,,none,The full EUR 2151.6 request cannot be completed safely within the next 90 days without exceeding the EUR 1000 minimum. Up to EUR 478.74 is safe to pay today.
request_80,85894.57,not_affordable,not_recommended,none,,none,The full INR 217500 request cannot be completed safely within the next 90 days without exceeding the INR 121300 minimum. Up to INR 85894.57 is safe to pay today.
request_81,2009.26,affordable_with_plan,full_payment,2026-07-03:2076.00,2026-09-13,reduce_to:event_7636:37.5|reduce_to:proj:event_7636:2026-07-10:37.5|reduce_to:proj:event_7636:2026-07-24:37.5,Pay USD 2076 today by reducing event_7636 to USD 37.5; reducing proj:event_7636:2026-07-10 to USD 37.5; reducing proj:event_7636:2026-07-24 to USD 37.5. This leaves at least USD 1648.68 available over the next 90 days.
request_82,330.09,affordable_later,wait,2025-02-16:1405.20,2025-02-16,none,"Wait until 2025-02-16, then pay USD 1405.2 in full. Paying sooner would put the USD 1100 minimum at risk."
request_83,4276.04,not_affordable,not_recommended,none,,none,The full INR 156200 request cannot be completed safely within the next 90 days without exceeding the INR 37800 minimum. Up to INR 4276.04 is safe to pay today.
request_84,28379.88,affordable_later,wait,2026-06-13:95400.00,2026-06-13,none,"Wait until 2026-06-13, then pay INR 95400 in full. Paying sooner would put the INR 91300 minimum at risk."
request_85,612817.87,not_affordable,not_recommended,none,,none,The full IDR 19304000 request cannot be completed safely within the next 90 days without exceeding the IDR 6396300 minimum. Up to IDR 612817.87 is safe to pay today.
request_86,46300.00,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 129927.03 available over the next 90 days.
request_87,0.00,not_affordable,not_recommended,none,,none,The full INR 487900 request cannot be completed safely within the next 90 days without exceeding the INR 185900 minimum. Up to INR 0.00 is safe to pay today.
request_88,10420.27,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 36220.27 available."
request_89,8980896.53,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-13,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12744582.41 available."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 28333.55 available over the next 90 days.
request_91,378.62,affordable_later,wait,2024-11-13:1927.20,2024-11-13,none,"Wait until 2024-11-13, then pay EUR 1927.2 in full. Paying sooner would put the EUR 2100 minimum at risk."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 31112.40 available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1972.99 available over the next 90 days.
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 1261.16 available over the next 90 days.
request_95,26203.15,not_affordable,not_recommended,none,,none,The full INR 553000 request cannot be completed safely within the next 90 days without exceeding the INR 145500 minimum. Up to INR 26203.15 is safe to pay today.
request_96,69048.31,not_affordable,not_recommended,none,2026-03-15,none,The full INR 90200 request cannot be completed safely within the next 90 days without exceeding the INR 56500 minimum. Up to INR 69048.31 is safe to pay today.
request_97,1161.53,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-18,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 30861.53 available."
request_98,5461.53,not_affordable,not_recommended,none,,none,The full ZAR 27148 request cannot be completed safely within the next 90 days without exceeding the ZAR 30000 minimum. Up to ZAR 5461.53 is safe to pay today.
request_99,15514.74,affordable_later,wait,2026-07-15:18062.00,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 18062 in full. Paying sooner would put the ZAR 49100 minimum at risk."
request_100,25783.97,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-13,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 36708.16 available."
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 237023.22 available over the next 90 days.
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 3567.96 available."
request_103,3868.50,not_affordable,not_recommended,none,,none,The full INR 368300 request cannot be completed safely within the next 90 days without exceeding the INR 125500 minimum. Up to INR 3868.50 is safe to pay today.
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 26146.67 available over the next 90 days.
request_105,47611.01,affordable_later,wait,2026-07-14:53500.00,2026-07-14,none,"Wait until 2026-07-14, then pay INR 53500 in full. Paying sooner would put the INR 73900 minimum at risk."
request_106,435.53,affordable_later,wait,2025-02-16:2207.70,2025-02-16,none,"Wait until 2025-02-16, then pay EUR 2207.7 in full. Paying sooner would put the EUR 1200 minimum at risk."
request_107,0.00,not_affordable,not_recommended,none,,none,The full EUR 2534.4 request cannot be completed safely within the next 90 days without exceeding the EUR 1600 minimum. Up to EUR 0.00 is safe to pay today.
request_108,785.24,not_affordable,not_recommended,none,,none,The full ZAR 55308 request cannot be completed safely within the next 90 days without exceeding the ZAR 24100 minimum. Up to ZAR 785.24 is safe to pay today.
request_109,272.94,not_affordable,not_recommended,none,2024-05-18,none,The full EUR 1863.4 request cannot be completed safely within the next 90 days without exceeding the EUR 1700 minimum. Up to EUR 272.94 is safe to pay today.
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 28769.94 available."
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 57520507.39 available over the next 90 days.
request_112,246.30,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-13,reduce_to:event_10400:13|reduce_to:proj:event_10400:2024-06-11:13|reduce_to:proj:event_10400:2024-06-25:13,Pay EUR 271.7 today by reducing event_10400 to EUR 13; reducing proj:event_10400:2024-06-11 to EUR 13; reducing proj:event_10400:2024-06-25 to EUR 13. This leaves at least EUR 513.80 available over the next 90 days.
request_113,14064.81,affordable_later,wait,2026-11-13:36500.00,2026-11-13,none,"Wait until 2026-11-13, then pay INR 36500 in full. Paying sooner would put the INR 82300 minimum at risk."
request_114,0.00,not_affordable,not_recommended,none,,none,The full INR 65300 request cannot be completed safely within the next 90 days without exceeding the INR 113400 minimum. Up to INR 0.00 is safe to pay today.
request_115,13816.98,affordable_later,wait,2024-11-13:80500.00,2024-11-13,none,"Wait until 2024-11-13, then pay INR 80500 in full. Paying sooner would put the INR 38800 minimum at risk."
request_116,0.00,not_affordable,not_recommended,none,,none,The full INR 241200 request cannot be completed safely within the next 90 days without exceeding the INR 80300 minimum. Up to INR 0.00 is safe to pay today.
request_117,828.10,affordable_later,wait,2026-07-15:880.00,2026-07-15,none,"Wait until 2026-07-15, then pay EUR 880 in full. Paying sooner would put the EUR 1000 minimum at risk."
request_118,550.14,not_affordable,not_recommended,none,2025-02-16,none,The full EUR 738.1 request cannot be completed safely within the next 90 days without exceeding the EUR 600 minimum. Up to EUR 550.14 is safe to pay today.
request_119,44879.19,not_affordable,not_recommended,none,2025-07-20,none,The full INR 203500 request cannot be completed safely within the next 90 days without exceeding the INR 151200 minimum. Up to INR 44879.19 is safe to pay today.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 21291466.11 available over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 883.00 available over the next 90 days.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 37613778.25 available."
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 51597524.23 available over the next 90 days.
request_124,1348.84,not_affordable,not_recommended,none,2024-08-13,none,The full EUR 3104.2 request cannot be completed safely within the next 90 days without exceeding the EUR 1600 minimum. Up to EUR 1348.84 is safe to pay today.
request_125,6363.24,affordable_with_plan,full_payment,2025-11-06:6468.00,2025-11-14,reduce_to:event_11602:223.3|reduce_to:proj:event_11602:2025-11-06:223.3,Pay ZAR 6468 today by reducing event_11602 to ZAR 223.3; reducing proj:event_11602:2025-11-06 to ZAR 223.3. This leaves at least ZAR 11540.46 available over the next 90 days.
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 200575.00 available over the next 90 days.
request_127,14464.93,affordable_later,wait,2024-11-11:23980.00,2024-11-11,none,"Wait until 2024-11-11, then pay ZAR 23980 in full. Paying sooner would put the ZAR 41000 minimum at risk."
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 45471.78 available over the next 90 days.
request_129,92.64,not_affordable,not_recommended,none,,none,The full USD 2668.8 request cannot be completed safely within the next 90 days without exceeding the USD 800 minimum. Up to USD 92.64 is safe to pay today.
request_130,296.96,affordable_later,wait,2025-02-16:1978.80,2025-02-16,none,"Wait until 2025-02-16, then pay USD 1978.8 in full. Paying sooner would put the USD 1400 minimum at risk."
request_131,1293.60,not_affordable,not_recommended,none,2025-07-17,none,The full USD 1855.2 request cannot be completed safely within the next 90 days without exceeding the USD 1100 minimum. Up to USD 1293.60 is safe to pay today.
request_132,0.00,not_affordable,not_recommended,none,,none,The full USD 379.86 request cannot be completed safely within the next 90 days without exceeding the USD 1100 minimum. Up to USD 0.00 is safe to pay today.
request_133,15770000.00,not_affordable,not_recommended,none,2024-03-07,none,The full IDR 15770000 request cannot be completed safely within the next 90 days without exceeding the IDR 9986200 minimum. Up to IDR 15770000.00 is safe to pay today.
request_134,3610868.14,affordable_later,wait,2025-10-13:21831000.00,2025-10-13,none,"Wait until 2025-10-13, then pay IDR 21831000 in full. Paying sooner would put the IDR 15902500 minimum at risk."
request_135,249.26,affordable_later,wait,2026-07-15:304.80,2026-07-15,none,"Wait until 2026-07-15, then pay USD 304.8 in full. Paying sooner would put the USD 500 minimum at risk."
request_136,468.92,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Wait until 2024-06-15, then pay USD 560.4 in full. Paying sooner would put the USD 1100 minimum at risk."
request_137,5942.02,affordable_later,wait,2026-01-13:80100.00,2026-01-13,none,"Wait until 2026-01-13, then pay INR 80100 in full. Paying sooner would put the INR 71800 minimum at risk."
request_138,1115.85,affordable_with_plan,partial_payment,2026-04-07:1115.85|2026-04-14:141.09,2026-04-14,none,"Pay EUR 1115.85 today, then EUR 141.09 on 2026-04-14. This completes the EUR 1256.94 request while keeping at least EUR 2300.00 available."
request_139,1719.26,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-14,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1566.44 available."
request_140,188.16,not_affordable,not_recommended,none,,none,The full ZAR 62832 request cannot be completed safely within the next 90 days without exceeding the ZAR 21600 minimum. Up to ZAR 188.16 is safe to pay today.
request_141,14996.76,not_affordable,not_recommended,none,,none,The full INR 171600 request cannot be completed safely within the next 90 days without exceeding the INR 67300 minimum. Up to INR 14996.76 is safe to pay today.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 4152.55 available over the next 90 days.
request_143,1540.41,affordable_later,wait,2025-07-17:12584.00,2025-07-17,none,"Wait until 2025-07-17, then pay ZAR 12584 in full. Paying sooner would put the ZAR 11300 minimum at risk."
request_144,144.79,affordable_later,wait,2026-09-16:233.34,2026-09-16,none,"Wait until 2026-09-16, then pay USD 233.34 in full. Paying sooner would put the USD 600 minimum at risk."
request_145,37277.60,not_affordable,not_recommended,none,2024-05-18,none,The full INR 217400 request cannot be completed safely within the next 90 days without exceeding the INR 155400 minimum. Up to INR 37277.60 is safe to pay today.
request_146,8255.32,not_affordable,not_recommended,none,,none,The full INR 449400 request cannot be completed safely within the next 90 days without exceeding the INR 108600 minimum. Up to INR 8255.32 is safe to pay today.
request_147,446.21,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-14,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 937.53 available."
request_148,6268.52,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-13,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 22315.46 available."
request_149,19298.62,not_affordable,not_recommended,none,2026-01-13,none,The full ZAR 36652 request cannot be completed safely within the next 90 days without exceeding the ZAR 42100 minimum. Up to ZAR 19298.62 is safe to pay today.
request_150,0.00,not_affordable,not_recommended,none,,none,The full EUR 496.1 request cannot be completed safely within the next 90 days without exceeding the EUR 700 minimum. Up to EUR 0.00 is safe to pay today.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 32730514.08 available over the next 90 days.
request_152,10942.62,not_affordable,not_recommended,none,2025-04-15,none,The full ZAR 13882 request cannot be completed safely within the next 90 days without exceeding the ZAR 11900 minimum. Up to ZAR 10942.62 is safe to pay today.
request_153,0.00,not_affordable,not_recommended,none,,none,The full USD 2830.8 request cannot be completed safely within the next 90 days without exceeding the USD 1400 minimum. Up to USD 0.00 is safe to pay today.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 2037.37 available."
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 68184.35 available over the next 90 days.
request_156,10753.27,affordable_later,wait,2026-06-13:43076.00,2026-06-13,none,"Wait until 2026-06-13, then pay ZAR 43076 in full. Paying sooner would put the ZAR 26900 minimum at risk."
request_157,4100219.28,affordable_later,wait,2024-05-18:23503000.00,2024-05-18,none,"Wait until 2024-05-18, then pay IDR 23503000 in full. Paying sooner would put the IDR 15714100 minimum at risk."
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 405654.65 available."
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,Pay ZAR 13398 today. This leaves at least ZAR 21359.19 available over the next 90 days.
request_160,550.49,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1318.44 available."
request_161,0.00,not_affordable,not_recommended,none,,none,The full IDR 21204000 request cannot be completed safely within the next 90 days without exceeding the IDR 23010400 minimum. Up to IDR 0.00 is safe to pay today.
request_162,451037.30,not_affordable,not_recommended,none,,none,The full IDR 83923000 request cannot be completed safely within the next 90 days without exceeding the IDR 24161100 minimum. Up to IDR 451037.30 is safe to pay today.
request_163,9097346.11,not_affordable,not_recommended,none,2024-11-13,none,The full IDR 19304000 request cannot be completed safely within the next 90 days without exceeding the IDR 26728700 minimum. Up to IDR 9097346.11 is safe to pay today.
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240.00|2025-03-11:9366240.00|2025-04-08:9366240.00,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 49344965.76 available."
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 273576.26 available over the next 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 7473.18 available."
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 41044.70 available over the next 90 days.
request_168,0.00,not_affordable,not_recommended,none,,none,The full INR 49380 request cannot be completed safely within the next 90 days without exceeding the INR 114400 minimum. Up to INR 0.00 is safe to pay today.
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 19442.66 available over the next 90 days.
request_170,30282288.67,not_affordable,not_recommended,none,2025-10-13,none,The full IDR 36936000 request cannot be completed safely within the next 90 days without exceeding the IDR 24715800 minimum. Up to IDR 30282288.67 is safe to pay today.
request_171,8.67,not_affordable,not_recommended,none,,none,The full EUR 1878.8 request cannot be completed safely within the next 90 days without exceeding the EUR 500 minimum. Up to EUR 8.67 is safe to pay today.
request_172,10004.40,affordable_with_plan,partial_payment,2024-06-05:10004.40|2024-06-14:195.60,2024-06-14,none,"Pay ZAR 10004.40 today, then ZAR 195.60 on 2024-06-14. This completes the ZAR 10200 request while keeping at least ZAR 27200.00 available."
